tree_id,trunk_diam,status,health,spc_common,neighborhood
441112,12,Alive,Good,pin oak,Old Town-Dongan Hills-South Beach
690969,24,Alive,Good,Norway maple,Ft. Totten-Bay Terrace-Clearview
665785,17,Alive,Good,red maple,St. Albans
148773,9,Alive,Good,Callery pear,QN20
97645,6,Alive,Good,Callery pear,Brooklyn Heights-Cobble Hill
169655,19,Alive,Good,pin oak,40
522325,10,Alive,Good,Norway maple,Elmhurst-Maspeth
338454,3,Alive,Good,swamp white oak,Van Nest-Morris Park-Westchester Square
298310,13,Alive,Good,honeylocust,Upper East Side-Carnegie Hill
114811,5,Alive,Poor,cherry,BK76
141995,28,Alive,Good,Sophora,QN72
263352,5,Alive,Good,European hornbeam,BK61
536319,10,Alive,Good,Callery pear,Great Kills
578872,12,Alive,Good,cherry,Rossville-Woodrow
207723,12,Alive,Good,littleleaf linden,Gravesend
173943,6,Alive,Good,white oak,Old Town-Dongan Hills-South Beach
575399,12,Alive,Fair,honeylocust,QN72
704719,14,Alive,Good,Sophora,Ozone Park
598750,16,Alive,Good,Norway maple,Woodside
287593,5,Alive,Good,American hornbeam,New Brighton-Silver Lake
597971,32,Alive,Good,London planetree,Queens Village
295142,32,Alive,Good,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
118025,3,Alive,Good,Callery pear,Chinatown
605536,2,Alive,Good,cherry,Kew Gardens Hills
85606,15,Alive,Good,honeylocust,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
544111,16,Alive,Fair,honeylocust,East New York
456697,19,Dead,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
194173,13,Alive,Good,ginkgo,Upper West Side
538223,16,Alive,Good,green ash,Elmhurst
579606,6,Alive,Good,golden raintree,Springfield Gardens North
536320,11,Alive,Good,Callery pear,Great Kills
128689,21,Alive,Good,London planetree,Park Slope-Gowanus
143947,4,Alive,Good,white ash,Bensonhurst East
351968,3,Alive,Good,purple-leaf plum,Westerleigh
328934,13,Alive,Good,London planetree,Bensonhurst West
478303,18,Alive,Good,cherry,Port Richmond
104644,7,Alive,Good,littleleaf linden,Greenpoint
95824,24,Alive,Fair,London planetree,Ridgewood
168312,22,Alive,Fair,pin oak,Van Cortlandt Village
720054,12,Dead,,,South Jamaica
526895,11,Alive,Good,dawn redwood,Borough Park
495123,14,Alive,Good,pin oak,New Springville-Bloomfield-Travis
500314,10,Alive,Good,green ash,Norwood
622014,3,Alive,Good,horse chestnut,Dyker Heights
62025,19,Alive,Good,London planetree,Sunset Park West
712143,6,Alive,Fair,maple,Dyker Heights
507468,13,Alive,Good,littleleaf linden,Soundview-Bruckner
447975,9,Alive,Good,honeylocust,Hunts Point
533472,13,Alive,Good,honeylocust,Great Kills
155493,3,Alive,Fair,ash,Flatbush
389910,8,Alive,Fair,crimson king maple,Rosedale
463064,8,Alive,Good,cherry,East New York (Pennsylvania Ave)
527842,13,Alive,Good,littleleaf linden,Flatbush
157396,14,Alive,Good,honeylocust,Pelham Parkway
680228,35,Alive,Good,pin oak,Kew Gardens Hills
51203,3,Alive,Good,northern red oak,East Tremont
661696,13,Alive,Good,Norway maple,Oakland Gardens
9479,5,Alive,Fair,Callery pear,Queensboro Hill
600815,13,Alive,Fair,Norway maple,Auburndale
604444,13,Alive,Good,honeylocust,St. Albans
294809,10,Alive,Good,ginkgo,Flatbush
653867,33,Alive,Good,pin oak,Kew Gardens Hills
612677,20,Alive,Good,green ash,Borough Park
429701,9,Alive,Good,cherry,Douglas Manor-Douglaston-Little Neck
606219,18,Alive,Good,Japanese zelkova,Kew Gardens Hills
249845,31,Alive,Good,London planetree,60
517481,9,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
592510,11,Alive,Fair,pin oak,19
201467,11,Alive,Good,Callery pear,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
173841,12,Alive,Fair,American linden,Sunset Park West
721243,12,Alive,Good,honeylocust,Baisley Park
642101,0,Stump,,,Borough Park
682681,11,Alive,Fair,Norway maple,East Flushing
43942,2,Alive,Fair,Japanese tree lilac,Lindenwood-Howard Beach
239739,23,Alive,Good,London planetree,QN54
